//List of Character Names

+spronoun
he
she
they

+opronoun
him
her
them

+ppronoun
his
her
their

+charactername
Olivier Goulding
Esa Duncan
Paolo Brett
Glenn Mansell
Jakub Walton
Hassan Pritchard
Taslima Lyon
Ritchie Horton
Jordi Esparza
Kalem Mckee
Craig Hayward
Dahlia Lowe
Rafe Bell
Mimi Nicholls
Eryk Rosario
Davey Kelley
Giovanni Robins
Yehuda Finney
Kairon Emery
Harvir Brock
Yuvaan Berry
Cali Holder
Macy Noble
Poppie Fitzpatrick
Samira Philip
Matteo Callahan
Luis Beaumont
Kayden Peralta
Shaunna Stevens
Rubie Bates
Jonny Burks
Keelan Lancaster
Ophelia Conroy
Kalum Proctor
Dalia Puckett
Sakina Millington
Bea Reader
Kailum Hodgson
Abul Arellano
Hazel Donnelly
Nannie Turner
Halima Chester
Lester Willis
Sacha Sanderson
Jeffery Conley
Zaine Valenzuela
Kie Daniels
Rudy Marin
Raihan Peterson
Monet Wooten
Tayla Pugh
Lillie-Rose Curry
Dion Johnson
Fenella Harrell
Adaline Jenkins
Eoin Wall
Marisa Welch
Phillipa Munoz
Henna O'Ryan
Ayman Ellwood
Jayda Pratt
Georgina Garner
Peter Brennan
Ammara Rosas
Faris Downes
Zack Kirkland
Luisa Colon
Kiah Coffey
Manpreet Tyson
Ayla Nava
Harvie French
Yassin Pearce
Korben Duarte
Hailie Maxwell
Kyra Salter
Patience Melton
Pam Wilkerson
Dorothy Barton
Kristy Wallace
Lillie Perkins
Bridget Rogers
Crystal Campbell
Suzanne Copeland
Dwayne Holt
Jimmy Burke
Erin Stewart
Lilly-Rose Vazquez
Lilliana Melia
Dillan Lindsey
Mikail Bloom
Janet Tanner
Zubair Walker
Dewey Bowman
Bernadette O'Sullivan
Alex Mcnamara
Dixie Crosby
Adelina Grant
Maxim Cox
Nathaniel Rowland
Harmony Dolan
Kaydan Lara
Umayr Lutz
Aayan Wright
Taryn Phillips
Aaron Lu
Darnell Weiss
Stevie Mathis
James Kaufman
Tommie Huber
Tania Hope
Agnes Mcdonald
Grant Hunt
Geraldine Santos
Eva Walsh
Arturo Sparks
Randolph Cunningham
William Ford
Terrance Riley
Dwight Rodriguez
Beatrice Montgomery
Jordan Elliott
Stephanie Davis
Rafael Castro
Lorena Harmon
Maureen Abbott
Lila Greer
Ralph Ballard
Brendan Glover
Shari Martinez
Salvador Jensen
Lora Strickland
Eula Cross
Wesley Tyler
Jared Becker
Felix Cruz
Hugo Ferguson
Damon Maxwell
Adrian Tran
Dawn May
Garry Holmes
Ana Morales
Harvey Parsons
Julie Moran
Vicky Saunders
Amanda Oliver
Christie Buchanan
Erika Vaughn
Misty Maldonado
Steven Townsend
Arlene Williams
Ismael Barber
Chester Newton
Lori Mills
Elijah Sullivan
Andre Drake
Perry Freeman
Penny Franklin
Nina Murray
Lena Arnold
Jenna French
Larry Fleming
Sue Sandoval
Lynda Roberson
Jeanne Graves
Billy Manning
Oscar Stevenson
Karl Willis
Kristina Boone
Sammy Carr
Darrin Beck
Henry Todd
Gerardo Ramsey
Terence Parker
Donnie Aguilar
Jennifer Copeland
Ian Hernandez
Elena Powers
Ed Wise
Marguerite Steele
Seth Reeves
Samantha Fowler
Raymond Gomez
Marie Evans
Nadine Collins
Lois Shaw
Dolores Stevens
Enrique Zimmerman
Bennie Romero
Jaime Kelly
Monique Figueroa
Saul Bennett
Nathan Mccoy
Annie Jordan
Henrietta Brock
Jason Bishop
Elsie Douglas
Bobby Daniel
Preston Miller
Ellen Bell
Darla Wells
Thelma Hansen
Gretchen Wong
Drew Fletcher
Shelly Jennings
Phyllis Lee
Emanuel Cole
Ross Ortiz
Cody Harrington
Jo Burke
Sean Banks

//First section is collection of combat descriptors.

+fightverb
cleaved
split
severed
rend
sundered
ruptured
broke
chopped
